                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.70039,                0.37186,                0.97823,                0.95318,                0.96164,                0.97912,                0.77506,                0.84504,                 0.4055,                 1.0828,               0.007492,               0.007492,               0.007492
                     78,                0.68773,                0.36825,                0.96892,                0.95245,                0.97085,                0.97968,                0.76509,                0.84639,                0.40035,                 1.1014,               0.007459,               0.007459,               0.007459
                     79,                0.68038,                0.36067,                0.97111,                0.95318,                0.97045,                 0.9776,                0.78118,                0.81787,                0.39808,                 1.0798,               0.007426,               0.007426,               0.007426
                     80,                0.67718,                0.36255,                0.96523,                 0.9473,                0.97997,                0.98235,                0.78523,                0.81128,                0.38557,                 1.0731,               0.007393,               0.007393,               0.007393
                     81,                0.67884,                0.36507,                0.96499,                0.95822,                0.98952,                0.97787,                0.76682,                0.86516,                0.39675,                 1.0982,                0.00736,                0.00736,                0.00736
                     82,                0.67471,                0.36162,                0.96735,                 0.8787,                0.97953,                0.97774,                0.78013,                0.82899,                 0.4143,                 1.0764,               0.007327,               0.007327,               0.007327
                     83,                  0.668,                0.35698,                0.96286,                  0.957,                0.96949,                0.98548,                0.77589,                0.84041,                0.41685,                 1.0822,               0.007294,               0.007294,               0.007294
                     84,                0.66539,                0.35308,                0.96188,                0.95119,                0.96885,                0.97693,                0.78113,                0.80463,                0.39269,                 1.0745,               0.007261,               0.007261,               0.007261
                     85,                 0.6635,                0.34917,                0.96292,                0.95124,                0.98351,                0.98142,                 0.7794,                0.81316,                0.38299,                 1.0682,               0.007228,               0.007228,               0.007228
                     86,                0.66242,                0.35218,                0.95754,                0.94326,                0.98177,                0.98697,                0.77857,                0.82054,                0.38886,                 1.0699,               0.007195,               0.007195,               0.007195
                     87,                0.65286,                0.34954,                0.95996,                0.95202,                0.96095,                0.97991,                0.78397,                0.81213,                0.39508,                 1.0681,               0.007162,               0.007162,               0.007162
                     88,                0.65466,                0.34647,                0.95702,                0.95297,                0.97847,                0.97138,                0.77208,                0.83426,                0.38871,                 1.0793,               0.007129,               0.007129,               0.007129
                     89,                0.64663,                0.35228,                0.95826,                0.93941,                0.98214,                0.97654,                0.78204,                0.81578,                0.38653,                 1.0751,               0.007096,               0.007096,               0.007096
                     90,                0.64656,                0.33933,                0.96059,                0.96996,                0.95488,                0.97819,                0.77189,                0.82185,                0.38244,                 1.0736,               0.007063,               0.007063,               0.007063
                     91,                0.64301,                0.34719,                0.95414,                0.96308,                0.98211,                0.98567,                0.79074,                 0.8214,                0.37515,                 1.0756,                0.00703,                0.00703,                0.00703
                     92,                0.63978,                0.33845,                0.95487,                 0.9312,                0.96782,                0.98211,                0.77635,                0.85158,                0.39345,                 1.0862,               0.006997,               0.006997,               0.006997
                     93,                 0.6439,                0.34233,                0.95147,                0.94642,                0.98394,                0.97743,                0.77885,                0.83499,                0.38609,                 1.0769,               0.006964,               0.006964,               0.006964
